path,ext,owner,text
C:/synthetic_data/doc_0.pdf,.pdf,alice,Synthetic content for document 0 of type .pdf
C:/synthetic_data/doc_1.docx,.docx,carol,Synthetic content for document 1 of type .docx
C:/synthetic_data/doc_2.docx,.docx,alice,Synthetic content for document 2 of type .docx
C:/synthetic_data/doc_3.pdf,.pdf,bob,Synthetic content for document 3 of type .pdf
C:/synthetic_data/doc_4.docx,.docx,dave,Synthetic content for document 4 of type .docx
C:/synthetic_data/doc_5.pptx,.pptx,bob,Synthetic content for document 5 of type .pptx
C:/synthetic_data/doc_6.docx,.docx,carol,Synthetic content for document 6 of type .docx
C:/synthetic_data/doc_7.docx,.docx,dave,Synthetic content for document 7 of type .docx
C:/synthetic_data/doc_8.pdf,.pdf,alice,Synthetic content for document 8 of type .pdf
C:/synthetic_data/doc_9.pptx,.pptx,dave,Synthetic content for document 9 of type .pptx
C:/synthetic_data/doc_10.docx,.docx,bob,Synthetic content for document 10 of type .docx
C:/synthetic_data/doc_11.pdf,.pdf,carol,Synthetic content for document 11 of type .pdf
C:/synthetic_data/doc_12.docx,.docx,dave,Synthetic content for document 12 of type .docx
C:/synthetic_data/doc_13.pdf,.pdf,alice,Synthetic content for document 13 of type .pdf
C:/synthetic_data/doc_14.pdf,.pdf,bob,Synthetic content for document 14 of type .pdf
C:/synthetic_data/doc_15.docx,.docx,alice,Synthetic content for document 15 of type .docx
C:/synthetic_data/doc_16.docx,.docx,alice,Synthetic content for document 16 of type .docx
C:/synthetic_data/doc_17.docx,.docx,dave,Synthetic content for document 17 of type .docx
C:/synthetic_data/doc_18.docx,.docx,alice,Synthetic content for document 18 of type .docx
C:/synthetic_data/doc_19.docx,.docx,dave,Synthetic content for document 19 of type .docx
C:/synthetic_data/doc_20.docx,.docx,dave,Synthetic content for document 20 of type .docx
C:/synthetic_data/doc_21.docx,.docx,alice,Synthetic content for document 21 of type .docx
C:/synthetic_data/doc_22.pptx,.pptx,dave,Synthetic content for document 22 of type .pptx
C:/synthetic_data/doc_23.pdf,.pdf,bob,Synthetic content for document 23 of type .pdf
C:/synthetic_data/doc_24.pptx,.pptx,dave,Synthetic content for document 24 of type .pptx
C:/synthetic_data/doc_25.pdf,.pdf,dave,Synthetic content for document 25 of type .pdf
C:/synthetic_data/doc_26.docx,.docx,bob,Synthetic content for document 26 of type .docx
C:/synthetic_data/doc_27.docx,.docx,dave,Synthetic content for document 27 of type .docx
C:/synthetic_data/doc_28.docx,.docx,dave,Synthetic content for document 28 of type .docx
C:/synthetic_data/doc_29.pdf,.pdf,bob,Synthetic content for document 29 of type .pdf
C:/synthetic_data/doc_30.docx,.docx,carol,Synthetic content for document 30 of type .docx
C:/synthetic_data/doc_31.docx,.docx,bob,Synthetic content for document 31 of type .docx
C:/synthetic_data/doc_32.docx,.docx,carol,Synthetic content for document 32 of type .docx
C:/synthetic_data/doc_33.pdf,.pdf,alice,Synthetic content for document 33 of type .pdf
C:/synthetic_data/doc_34.pdf,.pdf,carol,Synthetic content for document 34 of type .pdf
C:/synthetic_data/doc_35.docx,.docx,dave,Synthetic content for document 35 of type .docx
C:/synthetic_data/doc_36.pptx,.pptx,carol,Synthetic content for document 36 of type .pptx
C:/synthetic_data/doc_37.docx,.docx,bob,Synthetic content for document 37 of type .docx
C:/synthetic_data/doc_38.docx,.docx,alice,Synthetic content for document 38 of type .docx
C:/synthetic_data/doc_39.pdf,.pdf,bob,Synthetic content for document 39 of type .pdf
C:/synthetic_data/doc_40.pdf,.pdf,bob,Synthetic content for document 40 of type .pdf
C:/synthetic_data/doc_41.pdf,.pdf,dave,Synthetic content for document 41 of type .pdf
C:/synthetic_data/doc_42.docx,.docx,dave,Synthetic content for document 42 of type .docx
C:/synthetic_data/doc_43.pdf,.pdf,alice,Synthetic content for document 43 of type .pdf
C:/synthetic_data/doc_44.pptx,.pptx,carol,Synthetic content for document 44 of type .pptx
C:/synthetic_data/doc_45.docx,.docx,dave,Synthetic content for document 45 of type .docx
C:/synthetic_data/doc_46.docx,.docx,dave,Synthetic content for document 46 of type .docx
C:/synthetic_data/doc_47.pdf,.pdf,dave,Synthetic content for document 47 of type .pdf
C:/synthetic_data/doc_48.pdf,.pdf,carol,Synthetic content for document 48 of type .pdf
C:/synthetic_data/doc_49.pdf,.pdf,alice,Synthetic content for document 49 of type .pdf
C:/synthetic_data/doc_50.docx,.docx,bob,Synthetic content for document 50 of type .docx
C:/synthetic_data/doc_51.docx,.docx,alice,Synthetic content for document 51 of type .docx
C:/synthetic_data/doc_52.pdf,.pdf,bob,Synthetic content for document 52 of type .pdf
C:/synthetic_data/doc_53.docx,.docx,bob,Synthetic content for document 53 of type .docx
C:/synthetic_data/doc_54.docx,.docx,alice,Synthetic content for document 54 of type .docx
C:/synthetic_data/doc_55.pdf,.pdf,alice,Synthetic content for document 55 of type .pdf
C:/synthetic_data/doc_56.pdf,.pdf,dave,Synthetic content for document 56 of type .pdf
C:/synthetic_data/doc_57.pdf,.pdf,alice,Synthetic content for document 57 of type .pdf
C:/synthetic_data/doc_58.docx,.docx,dave,Synthetic content for document 58 of type .docx
C:/synthetic_data/doc_59.docx,.docx,carol,Synthetic content for document 59 of type .docx
C:/synthetic_data/doc_60.pdf,.pdf,bob,Synthetic content for document 60 of type .pdf
C:/synthetic_data/doc_61.docx,.docx,carol,Synthetic content for document 61 of type .docx
C:/synthetic_data/doc_62.docx,.docx,carol,Synthetic content for document 62 of type .docx
C:/synthetic_data/doc_63.docx,.docx,carol,Synthetic content for document 63 of type .docx
C:/synthetic_data/doc_64.docx,.docx,carol,Synthetic content for document 64 of type .docx
C:/synthetic_data/doc_65.docx,.docx,alice,Synthetic content for document 65 of type .docx
C:/synthetic_data/doc_66.docx,.docx,bob,Synthetic content for document 66 of type .docx
C:/synthetic_data/doc_67.docx,.docx,alice,Synthetic content for document 67 of type .docx
C:/synthetic_data/doc_68.pdf,.pdf,alice,Synthetic content for document 68 of type .pdf
C:/synthetic_data/doc_69.pdf,.pdf,dave,Synthetic content for document 69 of type .pdf
C:/synthetic_data/doc_70.docx,.docx,dave,Synthetic content for document 70 of type .docx
C:/synthetic_data/doc_71.pptx,.pptx,alice,Synthetic content for document 71 of type .pptx
C:/synthetic_data/doc_72.pdf,.pdf,bob,Synthetic content for document 72 of type .pdf
C:/synthetic_data/doc_73.pdf,.pdf,bob,Synthetic content for document 73 of type .pdf
